model,horizon,slope,score
o4 mini,41.9209,2.3000,0.7937
grok 3 mini,36.7288,1.5800,0.7253
gemini 2.5 pro,36.4030,1.7608,0.7313
o3 mini 2025 01 31,34.7189,3.7631,0.7477
qwen3 235b a22b,31.3147,3.2360,0.7023
gemini 2.5 flash preview,28.9390,2.2858,0.6617
claude 3.7 sonnet,24.2766,2.4033,0.5950
claude 3.5 sonnet 20241022,16.6866,2.1686,0.4507
gpt 4o 2024 08 06,13.3738,2.4776,0.3653
gpt 4o mini 2024 07 18,12.6431,2.4686,0.3450
gpt 4 turbo 2024 04 09,12.6213,2.5701,0.3430
claude 3 haiku,10.1785,2.0651,0.2770
deepseek v3,8.5595,1.2117,0.2697
