model,horizon,slope,score
openai_o3_cua,1.7899,0.6000,0.4290
ui_tars_1_5,1.7899,0.6000,0.4250
google_gemini_2_5_pro_exp,1.5774,0.6000,0.4140
openai_cua,1.3902,0.6000,0.3810
anthropic_claude_3_7_sonnet,1.0798,0.6000,0.3450
ui_tars_72b_dpo,0.5741,0.6000,0.2460
anthropic_claude_3_5_sonnet_latest,0.5059,0.6000,0.2200
openai_gpt_4o_2024_11_20,0.3052,0.6000,0.1704
openai_gpt_4_vision,0.1072,0.6000,0.0769
qwen_2_5_vl_72b,0.1072,0.6000,0.0880
cogagent_9b,0.1072,0.6000,0.0812
google_gemini_pro_vision,0.0804,0.6000,0.0580
google_gemini_1_5_pro,0.0603,0.6000,0.0540
openai_gpt_4o,0.0452,0.6000,0.0503
openai_gpt_4o_mini,0.0452,0.6000,0.0377
anthropic_claude_3_opus,0.0254,0.6000,0.0242
qwen_vl_max_0809,0.0254,0.6000,0.0242
cogagent,,0.6000,
